SI,¦Â2
50.00 ,0.038 
50.00 ,0.047 
56.48 ,0.067 
56.48 ,0.117 
56.48 ,0.227 
56.48 ,0.779 
56.48 ,-1.276 
56.48 ,-0.461 
56.48 ,-0.309 
82.41 ,0.126 
76.85 ,0.107 
74.07 ,0.090 
74.07 ,0.076 
74.07 ,0.065 
74.07 ,0.055 
77.78 ,0.047 
77.78 ,0.040 
77.78 ,0.034 
79.63 ,0.030 
79.63 ,0.026 
79.63 ,0.023 
79.63 ,0.021 
83.33 ,0.019 
78.70 ,0.017 
78.70 ,0.015 
75.93 ,0.014 
73.15 ,0.013 
69.44 ,0.012 
69.44 ,0.012 
66.67 ,0.011 
71.30 ,0.010 
71.30 ,0.010 
71.30 ,0.010 
69.91 ,0.010 
69.91 ,0.011 
47.22 ,0.011 
47.22 ,0.012 
75.46 ,0.016 
75.46 ,0.026 
58.33 ,0.058 
63.89 ,0.577 
63.89 ,-8.887 
63.89 ,3.402 
65.28 ,-0.553 
68.98 ,2.479 
68.98 ,0.194 
68.98 ,0.060 
68.98 ,0.028 
68.98 ,0.016 
67.59 ,0.010 
71.30 ,0.008 
71.30 ,0.006 
71.30 ,0.004 
71.30 ,0.004 
71.30 ,0.004 
71.30 ,0.004 
71.30 ,0.004 
76.85 ,0.005 
76.85 ,0.007 
76.85 ,0.009 
76.85 ,0.014 
76.85 ,0.029 
76.85 ,0.076 
76.85 ,0.284 
76.85 ,-0.768 
76.85 ,-0.252 
76.85 ,-0.186 
76.85 ,-0.165 
67.59 ,0.126 
70.37 ,0.107 
70.37 ,0.090 
70.37 ,0.076 
70.37 ,0.064 
66.67 ,0.055 
66.67 ,0.046 
62.96 ,0.039 
62.96 ,0.034 
62.96 ,0.029 
62.96 ,0.025 
62.96 ,0.021 
64.81 ,0.019 
64.81 ,0.016 
64.81 ,0.014 
64.81 ,0.013 
62.04 ,0.012 
62.04 ,0.011 
59.26 ,0.010 
59.26 ,0.010 
55.56 ,0.010 
55.56 ,0.010 
55.56 ,0.010 
55.56 ,0.010 
50.00 ,0.011 
50.00 ,0.012 
47.22 ,0.014 
47.22 ,0.022 
47.22 ,0.094 
47.22 ,-0.053 
38.89 ,-0.025 
38.89 ,-0.015 
38.89 ,-0.012 
38.89 ,-0.011 
38.89 ,-0.012 
29.63 ,-0.014 
24.07 ,-0.018 
24.07 ,-0.026 
24.07 ,-0.066 
24.07 ,0.072 
24.07 ,0.017 
24.07 ,0.012 
24.07 ,0.011 
24.07 ,0.011 
24.07 ,0.012 
44.44 ,0.014 
44.44 ,0.018 
44.44 ,0.022 
38.89 ,0.028 
38.89 ,0.069 
38.89 ,-0.141 
38.89 ,-0.091 
35.19 ,-0.089 
35.19 ,-0.083 
38.89 ,-0.082 
38.89 ,-0.087 
38.89 ,-0.092 
16.67 ,-0.088 
16.67 ,-0.092 
